name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
D.McFadden,00-0026144,103,OAK,RB,1,1,1,0,1,0,16,17,0,0,108,114,5,0,379,,,,,,,,,,,,,,,,,,,,,,
G.Olsen,00-0025418,104,CAR,TE,,,,,,,,73,6,0,816,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Pierce,00-0029264,105,BAL,RB,,,,,,,,20,0,0,104,152,2,0,436,,,,,,,,,,,,,,,,,,,,,,
D.Bowe,00-0025410,106,KC,WR,,,,,,,,57,5,0,672,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ingram,00-0027966,107,NO,RB,,,,,,,,7,0,0,68,78,1,0,386,,,,,,,,,,,,,,,,,,,,,,
C.Michael,00-0030432,108,SEA,RB,,,,,,,,,,,,18,0,0,79,,,,,,,,,,,,,,,,,,,,,,
D.Brown,00-0027003,109,IND,RB,0,,,,,,,27,2,0,214,102,6,0,537,,,,,,,,,,,,,,,,,,,,,,
D.Pitta,00-0027714,110,BAL,TE,,,,,,,,20,1,0,169,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brady,00-0019596,111,NE,QB,3,628,380,11,25,2,4343,,,,,33,0,0,18,,,,,,,,,,,,,,,,,,,,,,
J.Hill,00-0031301,112,CIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hunter,00-0030521,113,TEN,WR,,,,,,,,18,4,0,354,,,,,,,,,,,,,,,,,,,,,,,,,,
T.West,00-0031375,114,CLE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Romo,00-0021678,115,DAL,QB,1,535,342,10,31,1,3840,,,,,20,0,0,38,,,,,,,,,,,,,,,,,,,,,,
L.Blount,00-0027325,116,NE,RB,2,,,,,,,2,0,0,38,153,7,0,772,0,,,,,,,,,,,,,,,,,,,,,
H.Nicks,00-0027005,117,NYG,WR,,,,,,,,56,0,0,896,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Rivers,00-0022942,118,SD,QB,2,545,379,11,32,0,4478,,,,,28,0,0,72,,,,,,,,,,,,,,,,,,,,,,
J.Cutler,00-0024226,119,CHI,QB,3,356,225,12,19,3,2619,,,,,23,0,0,150,,,,,,,,,,,,,,,,,,,,,,
M.Evans,00-0031408,120,TB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Hyde,00-0031045,121,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mason,00-0031391,122,STL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Roethlisberger,00-0022924,123,PIT,QB,5,570,369,14,28,0,4147,,,,,25,1,0,91,,,,,,,,,,,,,,,,,,,,,,
J.Starks,00-0027791,124,GB,RB,0,,,,,,,10,1,0,89,89,3,0,493,,,,,,,,,,,,,,,,,,,,,,
R.Randle,00-0029262,125,NYG,WR,1,,,,,,,41,6,0,611,,,,,,0,,,,,,,,,,,,,,,,,,,,
K.Davis,00-0030280,126,KC,RB,1,,,,,,,11,0,0,75,70,4,0,242,1,,,,,,,,,,,,,,,,,,,,,
C.Anderson,00-0029854,127,DEN,RB,0,,,,,,,,,,,7,0,0,38,,,,,,,,,,,,,,,,,,,,,,
M.Lattimore,00-0030497,128,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Helu,00-0028043,128,WAS,RB,0,,,,,,,31,0,0,251,62,4,0,274,,,,,,,,,,,,,,,,,,,,,,
A.Williams,00-0031055,129,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Stewart,00-0026153,130,CAR,RB,0,,,,,,,7,0,0,44,48,0,0,180,,,,,,,,,,,,,,,,,,,,,,
T.Austin,00-0030525,131,STL,WR,1,1,0,0,0,0,0,40,4,0,418,9,1,0,151,0,1,,,,,,,,,,,,,,,,,,,,
A.Dalton,00-0027973,132,CIN,QB,3,586,363,20,33,0,4296,,,,,61,2,0,183,,,,,,,,,,,,,,,,,,,,,,
J.Boykin,00-0029051,133,GB,WR,0,,,,,,,49,3,0,681,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Freeman,00-0031285,134,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Manning,00-0022803,135,NYG,QB,2,551,317,27,18,0,3818,,,,,18,0,0,37,,,,,,,,,,,,,,,,,,,,,,
B.Cooks,00-0031236,136,NO,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina.Panthers,,137,CAR,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,10,,4,,237
K.Rudolph,00-0027981,138,MIN,TE,,,,,,,,30,3,0,313,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Wheaton,00-0030460,139,PIT,WR,,,,,,,,6,0,0,64,,,,,0,,,,,,,,,,,,,,,,,,,,,
San Francisco.49ers,,140,SF,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18,12,1,5,,270
Denver.Broncos,,141,DEN,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,9,,3,2,385
Arizona.Cardinals,,142,ARI,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,20,10,2,5,,316
Cincinnati.Bengals,,143,CIN,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,20,11,,7,,285
St Louis.Rams,,144,STL,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,14,15,1,5,1,332
Kansas City.Chiefs,,145,KC,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,21,15,,7,4,305
J.Reed,00-0030472,146,WAS,TE,,,,,,,,45,3,0,499,1,0,0,18,,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0025465,147,GB,WR,1,,,,,,,59,3,0,817,,,,,,,,,,,,,,,,,,,,,,,,,,
New England.Patriots,,148,NE,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,17,12,,3,,320
Buffalo.Bills,,149,BUF,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,23,7,,3,,370
A.Bradshaw,00-0025637,150,IND,RB,,,,,,,,7,0,0,42,41,2,0,186,,,,,,,,,,,,,,,,,,,,,,
M.Prater,00-0023853,151,DEN,K,,,,,,,,,,,,,,,,,,554,75,0,2,,4,,5,,8,,6,,,,,,,,
S.Gostkowski,00-0024333,152,NE,K,,,,,,,,,,,,,,,,,,687,44,0,1,,8,,13,,11,2,5,,,,,,,,
J.Tucker,00-0029597,153,BAL,K,,,,,,,,,,,,,,,,,,568,26,0,,,10,,12,1,10,1,6,,,,,,,,
M.Crosby,00-0025580,154,GB,K,,,,,,,,,,,,,,,,,,597,42,0,1,,13,,8,,6,2,5,,,,,,,,
S.Hauschka,00-0025944,155,SEA,K,,,,,,,,,,,,,,,,,,581,44,0,,,10,1,9,,11,1,3,,,,,,,,
P.Dawson,00-0004091,156,SF,K,,,,,,,,,,,,,,,,,,583,44,0,,,12,1,6,,10,1,4,,,,,,,,
N.Novak,00-0023096,157,SD,K,,,,,,,,,,,,,,,,,,592,42,0,1,,9,,13,3,9,,2,,,,,,,,
A.Vinatieri,00-0016919,158,IND,K,,,,,,,,,,,,,,,,,,568,34,0,,,6,,10,1,15,2,4,,,,,,,,
B.Walsh,00-0029576,159,MIN,K,,,,,,,,,,,,,,,,,,502,43,1,,,7,,12,,5,1,2,,,,,,,,
D.Bailey,00-0028660,160,DAL,K,,,,,,,,,,,,,,,,,,540,47,0,2,,2,,8,1,10,,6,,,,,,,,
S.Johnson,00-0026364,161,BUF,WR,1,,,,,,,52,3,1,597,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,
C.Palmer,00-0021429,162,ARI,QB,3,572,362,22,24,0,4274,,,,,27,0,0,3,,,,,,,,,,,,,,,,,,,,,,
J.Todman,00-0028121,163,JAX,RB,0,,,,,,,14,1,0,116,75,2,0,256,0,,,,,,,,,,,,,,,,,,,,,
L.Murray,00-0030513,164,OAK,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hawkins,00-0027918,165,CIN,WR,0,,,,,,,12,0,0,199,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,
K.Carey,00-0031057,166,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.LaFell,00-0027681,167,CAR,WR,0,,,,,,,49,5,0,627,2,0,0,15,,0,,,,,,,,,,,,,,,,,,,,
J.McCown,00-0021206,168,CHI,QB,1,224,149,1,13,1,1829,,,,,13,1,0,69,,,,,,,,,,,,,,,,,,,,,,
